GameKey,Season,SeasonType,HomeTeam,VisitTeam
503,2017,Reg,New York Giants,Seattle Seahawks
504,2017,Reg,New England Patriots,Atlanta Falcons
505,2017,Reg,Philadelphia Eagles,Washington Redskins
506,2017,Reg,Baltimore Ravens,Miami Dolphins
507,2017,Reg,Cleveland Browns,Minnesota Vikings
508,2017,Reg,Buffalo Bills,Oakland Raiders
509,2017,Reg,Cincinnati Bengals,Indianapolis Colts
510,2017,Reg,New England Patriots,Los Angeles Chargers
511,2017,Reg,New Orleans Saints,Chicago Bears
512,2017,Reg,New York Jets,Atlanta Falcons
513,2017,Reg,Philadelphia Eagles,San Francisco 49ers
514,2017,Reg,Tampa Bay Buccaneers,Carolina Panthers
515,2017,Reg,Seattle Seahawks,Houston Texans
516,2017,Reg,Washington Redskins,Dallas Cowboys
517,2017,Reg,Detroit Lions,Pittsburgh Steelers
518,2017,Reg,Kansas City Chiefs,Denver Broncos
519,2017,Reg,New York Jets,Buffalo Bills
520,2017,Reg,Carolina Panthers,Atlanta Falcons
521,2017,Reg,Houston Texans,Indianapolis Colts
522,2017,Reg,Jacksonville Jaguars,Cincinnati Bengals
523,2017,Reg,New Orleans Saints,Tampa Bay Buccaneers
524,2017,Reg,New York Giants,Los Angeles Rams
525,2017,Reg,Philadelphia Eagles,Denver Broncos
526,2017,Reg,Tennessee Titans,Baltimore Ravens
527,2017,Reg,San Francisco 49ers,Arizona Cardinals
528,2017,Reg,Seattle Seahawks,Washington Redskins
529,2017,Reg,Dallas Cowboys,Kansas City Chiefs
530,2017,Reg,Miami Dolphins,Oakland Raiders
531,2017,Reg,Green Bay Packers,Detroit Lions
532,2017,Reg,Arizona Cardinals,Seattle Seahawks
533,2017,Reg,Buffalo Bills,New Orleans Saints
534,2017,Reg,Chicago Bears,Green Bay Packers
535,2017,Reg,Detroit Lions,Cleveland Browns
536,2017,Reg,Indianapolis Colts,Pittsburgh Steelers
537,2017,Reg,Jacksonville Jaguars,Los Angeles Chargers
538,2017,Reg,Tampa Bay Buccaneers,New York Jets
539,2017,Reg,Tennessee Titans,Cincinnati Bengals
540,2017,Reg,Washington Redskins,Minnesota Vikings
541,2017,Reg,Los Angeles Rams,Houston Texans
542,2017,Reg,Atlanta Falcons,Dallas Cowboys
543,2017,Reg,San Francisco 49ers,New York Giants
544,2017,Reg,Denver Broncos,New England Patriots
545,2017,Reg,Carolina Panthers,Miami Dolphins
546,2017,Reg,Pittsburgh Steelers,Tennessee Titans
547,2017,Reg,Chicago Bears,Detroit Lions
548,2017,Reg,Cleveland Browns,Jacksonville Jaguars
549,2017,Reg,Green Bay Packers,Baltimore Ravens
550,2017,Reg,Houston Texans,Arizona Cardinals
551,2017,Reg,Minnesota Vikings,Los Angeles Rams
552,2017,Reg,New Orleans Saints,Washington Redskins
553,2017,Reg,New York Giants,Kansas City Chiefs
554,2017,Reg,Los Angeles Chargers,Buffalo Bills
555,2017,Reg,Denver Broncos,Cincinnati Bengals
556,2017,Reg,Oakland Raiders,New England Patriots
557,2017,Reg,Dallas Cowboys,Philadelphia Eagles
558,2017,Reg,Seattle Seahawks,Atlanta Falcons
559,2017,Reg,Detroit Lions,Minnesota Vikings
560,2017,Reg,Dallas Cowboys,Los Angeles Chargers
561,2017,Reg,Washington Redskins,New York Giants
562,2017,Reg,Atlanta Falcons,Tampa Bay Buccaneers
563,2017,Reg,Cincinnati Bengals,Cleveland Browns
564,2017,Reg,Indianapolis Colts,Tennessee Titans
565,2017,Reg,Kansas City Chiefs,Buffalo Bills
566,2017,Reg,New England Patriots,Miami Dolphins
567,2017,Reg,New York Jets,Carolina Panthers
568,2017,Reg,Philadelphia Eagles,Chicago Bears
569,2017,Reg,Los Angeles Rams,New Orleans Saints
570,2017,Reg,San Francisco 49ers,Seattle Seahawks
571,2017,Reg,Arizona Cardinals,Jacksonville Jaguars
572,2017,Reg,Oakland Raiders,Denver Broncos
573,2017,Reg,Pittsburgh Steelers,Green Bay Packers
574,2017,Reg,Baltimore Ravens,Houston Texans
575,2017,Reg,Dallas Cowboys,Washington Redskins
576,2017,Reg,Atlanta Falcons,Minnesota Vikings
577,2017,Reg,Baltimore Ravens,Detroit Lions
578,2017,Reg,Buffalo Bills,New England Patriots
579,2017,Reg,Chicago Bears,San Francisco 49ers
580,2017,Reg,Green Bay Packers,Tampa Bay Buccaneers
581,2017,Reg,Jacksonville Jaguars,Indianapolis Colts
582,2017,Reg,Miami Dolphins,Denver Broncos
583,2017,Reg,New Orleans Saints,Carolina Panthers
584,2017,Reg,New York Jets,Kansas City Chiefs
585,2017,Reg,Tennessee Titans,Houston Texans
586,2017,Reg,Los Angeles Chargers,Cleveland Browns
587,2017,Reg,Arizona Cardinals,Los Angeles Rams
588,2017,Reg,Oakland Raiders,New York Giants
589,2017,Reg,Seattle Seahawks,Philadelphia Eagles
590,2017,Reg,Cincinnati Bengals,Pittsburgh Steelers
591,2017,Reg,Atlanta Falcons,New Orleans Saints
592,2017,Reg,Buffalo Bills,Indianapolis Colts
593,2017,Reg,Carolina Panthers,Minnesota Vikings
594,2017,Reg,Cincinnati Bengals,Chicago Bears
595,2017,Reg,Cleveland Browns,Green Bay Packers
596,2017,Reg,Houston Texans,San Francisco 49ers
597,2017,Reg,Jacksonville Jaguars,Seattle Seahawks
598,2017,Reg,Kansas City Chiefs,Oakland Raiders
599,2017,Reg,Tampa Bay Buccaneers,Detroit Lions
600,2017,Reg,Arizona Cardinals,Tennessee Titans
601,2017,Reg,Denver Broncos,New York Jets
602,2017,Reg,Los Angeles Chargers,Washington Redskins
603,2017,Reg,Los Angeles Rams,Philadelphia Eagles
604,2017,Reg,New York Giants,Dallas Cowboys
605,2017,Reg,Pittsburgh Steelers,Baltimore Ravens
606,2017,Reg,Miami Dolphins,New England Patriots
607,2017,Reg,Indianapolis Colts,Denver Broncos
608,2017,Reg,Detroit Lions,Chicago Bears
609,2017,Reg,Kansas City Chiefs,Los Angeles Chargers
610,2017,Reg,Buffalo Bills,Miami Dolphins
611,2017,Reg,Carolina Panthers,Green Bay Packers
612,2017,Reg,Cleveland Browns,Baltimore Ravens
613,2017,Reg,Jacksonville Jaguars,Houston Texans
614,2017,Reg,Minnesota Vikings,Cincinnati Bengals
615,2017,Reg,New Orleans Saints,New York Jets
616,2017,Reg,New York Giants,Philadelphia Eagles
617,2017,Reg,Washington Redskins,Arizona Cardinals
618,2017,Reg,Seattle Seahawks,Los Angeles Rams
619,2017,Reg,Pittsburgh Steelers,New England Patriots
620,2017,Reg,San Francisco 49ers,Tennessee Titans
621,2017,Reg,Oakland Raiders,Dallas Cowboys
622,2017,Reg,Tampa Bay Buccaneers,Atlanta Falcons
623,2017,Reg,Baltimore Ravens,Indianapolis Colts
624,2017,Reg,Green Bay Packers,Minnesota Vikings
625,2017,Reg,Carolina Panthers,Tampa Bay Buccaneers
626,2017,Reg,Chicago Bears,Cleveland Browns
627,2017,Reg,Cincinnati Bengals,Detroit Lions
628,2017,Reg,Kansas City Chiefs,Miami Dolphins
629,2017,Reg,New England Patriots,Buffalo Bills
630,2017,Reg,New Orleans Saints,Atlanta Falcons
631,2017,Reg,New York Jets,Los Angeles Chargers
632,2017,Reg,Tennessee Titans,Los Angeles Rams
633,2017,Reg,Washington Redskins,Denver Broncos
634,2017,Reg,San Francisco 49ers,Jacksonville Jaguars
635,2017,Reg,Arizona Cardinals,New York Giants
636,2017,Reg,Dallas Cowboys,Seattle Seahawks
637,2017,Reg,Houston Texans,Pittsburgh Steelers
638,2017,Reg,Philadelphia Eagles,Oakland Raiders
639,2017,Reg,Atlanta Falcons,Carolina Panthers
640,2017,Reg,Baltimore Ravens,Cincinnati Bengals
641,2017,Reg,Detroit Lions,Green Bay Packers
642,2017,Reg,Indianapolis Colts,Houston Texans
643,2017,Reg,Miami Dolphins,Buffalo Bills
644,2017,Reg,Minnesota Vikings,Chicago Bears
645,2017,Reg,New England Patriots,New York Jets
646,2017,Reg,New York Giants,Washington Redskins
647,2017,Reg,Philadelphia Eagles,Dallas Cowboys
648,2017,Reg,Pittsburgh Steelers,Cleveland Browns
649,2017,Reg,Tampa Bay Buccaneers,New Orleans Saints
650,2017,Reg,Tennessee Titans,Jacksonville Jaguars
651,2017,Reg,Denver Broncos,Kansas City Chiefs
652,2017,Reg,Los Angeles Chargers,Oakland Raiders
653,2017,Reg,Los Angeles Rams,San Francisco 49ers
654,2017,Reg,Seattle Seahawks,Arizona Cardinals
655,2017,Post,Kansas City Chiefs,Tennessee Titans
656,2017,Post,Los Angeles Rams,Atlanta Falcons
657,2017,Post,Jacksonville Jaguars,Buffalo Bills
658,2017,Post,New Orleans Saints,Carolina Panthers
659,2017,Post,Philadelphia Eagles,Atlanta Falcons
660,2017,Post,New England Patriots,Tennessee Titans
661,2017,Post,Pittsburgh Steelers,Jacksonville Jaguars
662,2017,Post,Minnesota Vikings,New Orleans Saints
663,2017,Post,New England Patriots,Jacksonville Jaguars
664,2017,Post,Philadelphia Eagles,Minnesota Vikings
665,2017,Post,New England Patriots,Philadelphia Eagles
666,2017,Post,AFC,NFC
